bucket,priority,display_name,requirement_areas,canonical_rule_types,notes
core,20,Core Requirement,Core Requirement,,Required specialization courses
tools,30,Tools Elective,Tools Elective,tools_elective_total,Tools elective bucket
option,40,Area of Concentration,Area of Concentration,option_total_credits,Selected option/AoC bucket
complementary,10,Complementary Studies,Complementary Studies,complementary_studies_credits,Complementary Studies bucket
electives,50,Electives,Electives,,Residual electives bucket
